分类: 卫视, 名称: 河北卫视, 有效: 4, IPv4: 240, IPv6: 0, 最小延迟: 400 ms, 最高速率: 8.80 M/s, 平均速率: 4.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 黑龙江卫视, 有效: 3, IPv4: 256, IPv6: 0, 最小延迟: 41 ms, 最高速率: 6.30 M/s, 平均速率: 3.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 四川卫视, 有效: 3, IPv4: 286, IPv6: 0, 最小延迟: 397 ms, 最高速率: 8.77 M/s, 平均速率: 4.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 安徽卫视, 有效: 4, IPv4: 261, IPv6: 0, 最小延迟: 522 ms, 最高速率: 8.77 M/s, 平均速率: 3.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 云南卫视, 有效: 3, IPv4: 207, IPv6: 0, 最小延迟: 42 ms, 最高速率: 8.43 M/s, 平均速率: 5.76 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 广西卫视, 有效: 4, IPv4: 218, IPv6: 0, 最小延迟: 396 ms, 最高速率: 8.77 M/s, 平均速率: 3.40 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 贵州卫视, 有效: 4, IPv4: 230, IPv6: 0, 最小延迟: 395 ms, 最高速率: 8.77 M/s, 平均速率: 4.22 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 凤凰香港, 有效: 1, IPv4: 38, IPv6: 0, 最小延迟: 255 ms, 最高速率: 1.42 M/s, 平均速率: 1.22 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 凤凰资讯, 有效: 3, IPv4: 62, IPv6: 0, 最小延迟: 277 ms, 最高速率: 26.31 M/s, 平均速率: 0.56 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 东南卫视, 有效: 3, IPv4: 234, IPv6: 0, 最小延迟: 396 ms, 最高速率: 8.77 M/s, 平均速率: 4.52 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 新疆卫视, 有效: 3, IPv4: 150, IPv6: 0, 最小延迟: 57 ms, 最高速率: 9.05 M/s, 平均速率: 6.85 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 内蒙古卫视, 有效: 3, IPv4: 145, IPv6: 0, 最小延迟: 52 ms, 最高速率: 6.32 M/s, 平均速率: 3.42 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 厦门卫视, 有效: 0, IPv4: 61, IPv6: 0, 最小延迟: 964 ms, 最高速率: 3.85 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 安多卫视, 有效: 0, IPv4: 20, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 江苏卫视4K, 有效: 1, IPv4: 20, IPv6: 0, 最小延迟: 6927 ms, 最高速率: 6.62 M/s, 平均速率: 6.62 M/s, 最高分辨率: 3840x2160, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 湖南卫视[0x0], 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 941 ms, 最高速率: 2.25 M/s, 平均速率: 2.25 M/s, 最高分辨率: 3840x2160, 平均帧率: 25.00, 视频编解码器: hevc, 音频编解码器: aac
分类: 卫视, 名称: 金鹰卡通[1920x1080], 有效: 2, IPv4: 152, IPv6: 0, 最小延迟: 47 ms, 最高速率: 2.32 M/s, 平均速率: 1.61 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.82, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 浙江民生高清[1920x1080], 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 浙江钱江高清[1920x1080], 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 浙江新闻高清[1920x1080], 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 浙江教育高清[1920x1080], 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 1089 ms, 最高速率: 0.33 M/s, 平均速率: 0.33 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 全纪实, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 香港卫视, 有效: 0, IPv4: 10, IPv6: 0, 最小延迟: 10815 ms, 最高速率: 0.09 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
